retenu,eur_per_m2,name,city,postcode,zone_abc,developer,source,lot_price,lot_area,lot_floor,lot_exposure,lot_available,lot_count_t4,price_t4_min,price_t4_max,price_program_min,price_program_max,price_t4_or_program,area_t4_min,area_t4_max,area_program_min,area_program_max,typologies,delivery,fiscal,kitchen_hint,plan_url,station_name,station_line,walk_m,walk_min,address,lat,lon,geocode_precision,fails,unknown,notes,url,insee,dept,delivery_year,delivery_quarter,ok_t4,ok_zone,ok_surface,ok_prix,ok_eur_m2,ok_rer,ok_livraison,ok_ptz
non,2479,LE FLEURY,Saint Pierre Les Nemours,77140,B1,,coteneuf,299000.0,120.61,RDC,,oui,4,256200.0,,179800.0,,299000.0,75.2,,,,1/2/3/4/5,T2 2027,Jeanbrun/LMNP/PTZ,,,,,,,,48.265252,2.675425,municipality,zone/livraison,rer,,https://www.coteneuf.com/programmes-immobiliers-neufs/le-fleury-saint-pierre-les-nemours,77431,77,2027,2,oui,non,oui,oui,oui,?,non,oui
non,2545,BIO VALLEY,Evry,91000,A,NEXITY,explorimmoneuf,198000,77.8,1,,oui,1,198000,198000,198000,198000,198000,77.8,77.8,77.8,77.8,4,,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,Le Bras-de-Fer,D,896.0,10.7,0001  IMPASSE ALEXIS TRINQUET,48.62165,2.4472253,source,surface/rer,livraison,,https://www.explorimmoneuf.com/programme/detail-106423559,91228,91,,,oui,oui,non,oui,oui,non,?,oui
non,2850,Jardin Cézanne,Corbeil-Essonnes,91100,A,BOUYGUES IMMOBILIER,explorimmoneuf,249683,87.6,1,,oui,9,249683,299796,139788,309467,249683,79.8,87.6,35.8,98.6,1/2/3/4/5,T3 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,,,,,5 rue PAUL CEZANNE,48.617634,2.461685,source,,rer,,https://www.explorimmoneuf.com/programme/detail-87005275,91174,91,2028,3,oui,oui,oui,oui,oui,?,oui,oui
non,2916,L'Atelier,Stains,93240,A,LES NOUVEAUX CONSTRUCTEURS SA,explorimmoneuf,254300,87.2,4,,oui,1,254300,254300,177600,254300,254300,87.2,87.2,43.37,87.2,2/3/4,T4 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel/TVA réduite,,,,,,,1 rue Jack London,48.951023,2.3955562,source,,rer,,https://www.explorimmoneuf.com/programme/detail-79397076,93072,93,2028,4,oui,oui,oui,oui,oui,?,oui,oui
non,2967,Néo,Évry-Courcouronnes,91000,A,BOUYGUES IMMOBILIER,explorimmoneuf,259354,87.4,Rez-de-chaussée,Sud,oui,6,259354,269025,129238,269025,259354,81.5,87.8,26.7,87.8,1/2/3/4,T4 2027,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,,,,,rue du Pont Amar,48.63184,2.4147365,source,,rer,,https://www.explorimmoneuf.com/programme/detail-73697582,91228,91,2027,4,oui,oui,oui,oui,oui,?,oui,oui
non,2967,Sweety,Lisses,91090,A,ACHETER DU NEUF,explorimmoneuf,259354,87.4,,Sud,oui,6,259354,269025,129238,269025,259354,81.5,87.8,26.7,87.8,1/2/3/4,T4 2027,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,,,,,Rue Charlie Chaplin,48.62976,2.4216528,source,,rer,,https://www.explorimmoneuf.com/programme/detail-91142583,91340,91,2027,4,oui,oui,oui,oui,oui,?,oui,oui
non,2988,Prochainement à Stains,Stains,93240,A,LES NOUVEAUX CONSTRUCTEURS SA,explorimmoneuf,239000,80,,,oui,1,239000,239000,169000,239000,239000,80,80,45,80,2/3/4,T4 2029,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,,,,,92 rue Salvador ALLENDE,48.945866,2.3835738,source,,rer,,https://www.explorimmoneuf.com/programme/detail-100955753,93072,93,2029,4,oui,oui,oui,oui,oui,?,oui,oui
non,2995,LE HAMEAU DE L'OURCQ,Lizy Sur Ourcq,77440,B2,,coteneuf,281000.0,93.81,RDC,,oui,13,243000.0,,230000.0,,281000.0,70.01,,,,1/2/3/4/5,T3 2028,Jeanbrun/PTZ,cuisine ouverte (à cloisonner),,,,,,,49.028381,3.026412,municipality,zone,rer,,https://www.coteneuf.com/programmes-immobiliers-neufs/le-hameau-de-l-ourcq-lizy-sur-ourcq,77257,77,2028,3,oui,non,oui,oui,oui,?,oui,oui
non,3007,La Courneuve proche du tramway T1,La Courneuve,93120,A,MEDICIS_PATRIMOINE,explorimmoneuf,375000,124.72,2,,oui,7,308000,375000,264000,375000,375000,100.28,124.72,65.44,124.72,2/3/4,,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,,,,,38 rue Edgar Quinet,48.930798,2.3973956,source,,rer/livraison,,https://www.explorimmoneuf.com/programme/detail-57817004,93027,93,,,oui,oui,oui,oui,oui,?,?,oui
non,3012,L'écrin de Méralie,Méry-sur-Oise,95540,A,ARCADE-VYV PROMOTION,explorimmoneuf,274000,90.98,,,oui,5,253000,274000,167000,274000,274000,82.68,90.98,44.05,90.98,2/3/4,T4 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,,,,,Chemin de l'Eglise,49.06372,2.191584,source,,rer,,https://www.explorimmoneuf.com/programme/detail-99335931,95394,95,2028,4,oui,oui,oui,oui,oui,?,oui,oui
non,3023,TANDEM,Meaux,77100,A,ICADE,explorimmoneuf,249700,82.59,1,,oui,5,230400,288400,175900,288400,249700,76.45,82.59,46.23,82.59,2/3/4,T3 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel/TVA réduite,,,,,,,"25, avenue Henri Dunant",48.95182,2.8945496,source,,rer,,https://www.explorimmoneuf.com/programme/detail-87219703,77284,77,2028,3,oui,oui,oui,oui,oui,?,oui,oui
non,3024,LE CLOS CHAMPEAU 1,Chanteloup Les Vignes,78570,A,,coteneuf,267000.0,88.3,1,S,oui,4,266000.0,,142000.0,,267000.0,82.1,,,,1/2/3/4/5,T2 2028,LLI/LMNP/PTZ/TVA réduite,,,,,,,,48.978679,2.034147,municipality,,rer,,https://www.coteneuf.com/programmes-immobiliers-neufs/le-clos-champeau-1-chanteloup-les-vignes,78138,78,2028,2,oui,oui,oui,oui,oui,?,oui,oui
non,3024,OLYMPIA,Aulnay Sous Bois,93600,A,,coteneuf,254958.0,84.3,2,,oui,1,254958.0,,200450.0,,254958.0,84.3,,,,1/2/3/4/5,T3 2026,Jeanbrun/LLI/PTZ/TVA réduite,,,,,,,,48.940735,2.497929,municipality,livraison,rer,,https://www.coteneuf.com/programmes-immobiliers-neufs/olympia-aulnay-sous-bois,93005,93,2026,3,oui,oui,oui,oui,oui,?,non,oui
non,3026,L'EDGAR (93),La Courneuve,93120,A,,coteneuf,308000.0,101.8,RDC,,oui,7,308000.0,,253000.0,,308000.0,100.28,,,,1/2/3/4/5,T4 2026,Jeanbrun/LLI/PTZ/TVA réduite,,,,,,,,48.929758,2.399108,municipality,livraison,rer,,https://www.coteneuf.com/programmes-immobiliers-neufs/l-edgar-93-la-courneuve,93027,93,2026,4,oui,oui,oui,oui,oui,?,non,oui
non,3032,Le Clos de Lisle - BRS,Poissy,78300,A,EMERIGE,explorimmoneuf,244000,80.47,2,,oui,2,244000,248000,214000,369000,244000,80.47,81.6,67.29,106.88,3/4/5,T1 2028,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel/TVA réduite,,,,,,,3 RUE DU PICQUENARD,48.936497,2.051349,source,,rer,,https://www.explorimmoneuf.com/programme/detail-79666758,78498,78,2028,1,oui,oui,oui,oui,oui,?,oui,oui
non,3032,L'ECLAIRCIE 3,Longpont Sur Orge,91310,A,,coteneuf,271333.0,89.5,3,S,oui,2,271333.0,,159500.0,,271333.0,88.3,,,,1/2/3/4/5,T4 2028,Jeanbrun/LLI/LMNP/PTZ,,,,,,,,48.640904,2.284028,municipality,,rer,,https://www.coteneuf.com/programmes-immobiliers-neufs/l-eclaircie-3-longpont-sur-orge,91347,91,2028,4,oui,oui,oui,oui,oui,?,oui,oui
non,3048,LES JARDINS DE LONGUEVILLE,Longueville,77650,B2,EUROPEAN HOMES FRANCE,explorimmoneuf,246000,80.7,,,oui,17,246000,295000,246000,295000,246000,80.7,88.6,80.7,88.6,4,T3 2027,BRS/Jeanbrun/LLI/LMNP/PTZ/Pinel,,,,,,,"11, Rue du Docteur Guelton",48.51872,3.246093,source,zone/livraison,rer,,https://www.explorimmoneuf.com/programme/detail-81074174,77260,77,2027,3,oui,non,oui,oui,oui,?,non,oui
non,3078,Les Allées du Bois - TVA 7%,Melun,77000,A,,coteneuf,266262.0,86.5,RDC,,oui,3,266262.0,,154205.0,,266262.0,85.57,,,,1/2/3/4/5,T4 2028,Jeanbrun/LLI/PTZ/TVA réduite,,,,,,,,48.541332,2.655743,municipality,,rer,,https://www.coteneuf.com/programmes-immobiliers-neufs/les-allees-du-bois-77-melun,77288,77,2028,4,oui,oui,oui,oui,oui,?,oui,oui
